"PIN","Admit.Year","AI1","AI2","Major","LH1","LH2","PPT1","PPT2","CSI","MST","QR","Science"
"N380113423221",2014,"ES",NA,"PPE",4,4,3,4,4.5,3.5,3.5,1.66666666666667
"N382113418221",2014,"GA",NA,"GA",4,4,3.5,4.5,3.5,3.5,4,2.5
"N385113412221",2014,"PS",NA,"MCS",3.5,4.5,3,4,3,3.5,4.5,3.625
"N386113410221",2014,"ECON","ARTS HUM","ES",4,4.5,2.5,3,3.5,4.5,3.5,2.66666666666667
"N388113405221",2014,"ANTH","GA","PHIL",4,3.5,4,4,3.5,5,3.5,2.66666666666667
"N389113401221",2014,"GA",NA,"LIT",5,4,3.5,3.5,3.5,4,3,2.66666666666667
"N390113421221",2014,"ECON",NA,"ECON",4,4,3,4,2,3.5,3,2.5
"N308113412226",2014,"GA","ARTS HUM","GA",4,3.5,4,3.5,3.5,3.5,3,2.16666666666667
"N309113410226",2014,"GA","HIST","PPE",4,4,4,3.5,4,3.5,4.5,2.66666666666667
"N310113425226",2014,"GA",NA,"PS",2.5,4,4.5,4.5,3,3.5,3.5,2.125
"N311113424226",2014,"PSY","PPE","ARTS HUM",4,3.5,4.5,4,3,4.5,3.5,2.5
"N312113423226",2014,"ANTH",NA,"ES",4.5,5,3.5,4.5,5,4.5,5,3.33333333333333
"N313113421226",2014,"GA",NA,"MCS",3.5,4,3.5,4,2.5,4,5,2.83333333333333
"N316113413226",2014,"ARTS HUM","PSY","ARTS HUM",2.5,4,3.5,4,3.5,4,3.5,2.33333333333333
"N317113412226",2014,"ECON","PPE","US",4,3.5,3.5,4,3,4,4,3
"N318113410226",2014,"ECON","GA","ECON",3,4,3.5,3,3,4,4,2.5
"N319113408226",2014,"GA",NA,"US",4,3.5,3.5,3,3,3.5,2.5,2
"N320113424226",2014,"LIT",NA,"LIT",4.5,5,3.5,4.5,4.5,4,3,2.66666666666667
"N321113423226",2014,"ANTH","ARTS HUM","ANTH",3,4.5,3,4,3,3.5,3.5,1.66666666666667
"N323113418226",2014,"ECON","PPE","US",3.5,4,3.5,5,3,5,4.5,3.16666666666667
"N324113414226",2014,"LS",NA,"ES",4.5,4,3.5,4,4.5,5,4,2.625
"N325113413226",2014,"PPE",NA,"HIST",4.5,4,4.5,4.5,4,4.5,4.5,3.375
"N326113412226",2014,"PSY","PHIL","ARTS HUM",2,2,2,3.5,3.5,1,2.5,1.125
"N327113410226",2014,"LIT","ARTS HUM","LIT",5,4,4,4.5,4,4,3.5,2.83333333333333
"N329113405226",2014,"HIST","LIT","HIST",3.5,3.5,3.5,3.5,2,4,3.5,3
"N331113421226",2014,"LS","PS","LS",4,5,4,4,3,3.5,3.5,2.25
"N332113418226",2014,"PS",NA,"MCS",4,3.5,5,4.5,3.5,4,5,3.5
"N333113414226",2014,"LIT","ARTS HUM","HIST",4.5,4,4.5,3.5,3.5,4,3.5,2.33333333333333
"N398113418236",2014,"PPE","GA","ANTH",4,4,3.5,4,3.5,4.5,3.5,2.66666666666667
"N325113408238",2014,"PSY","ECON","ANTH",4,3.5,4,3.5,4,3,3,2
"N332113424241",2014,"ARTS HUM","PPE","ANTH",3,4.5,4,3,4,3.5,3,2.33333333333333
